id,season,country,comp_level,lg_finish,squad,age,minutes_90s,tackles,tackles_won,pressures,pressure_regains,pressure_regain_pct,blocks,blocked_shots,blocked_shots_saves,interceptions,clearances,errors
854ee61a,2019-2020,ITA,1. Serie A,8th,Sassuolo,28,10.9,11,9,226,60,26.5,14,0,0,3,6,0
85613cf0,2019-2020,ITA,1. Serie A,7th,Napoli,25,19.4,16,9,286,73,25.5,13,2,0,1,13,0
8593f88c,2019-2020,GER,1. Bundesliga,8th,Freiburg,26,33.7,36,23,318,89,28,50,12,0,10,47,0
861e0116,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,25,4.4,7,0,41,7,17.1,15,2,0,6,11,0
862a1c15,2019-2020,ENG,1. Premier League,13th,Newcastle Utd,25,33.6,62,36,732,175,23.9,44,1,0,20,16,0
8650af85,2019-2020,ITA,1. Serie A,8th,Sassuolo,27,21.1,12,9,100,31,31,34,24,0,20,52,1
86695068,2019-2020,ENG,1. Premier League,5th,Leicester City,25,12.6,30,18,304,76,25,26,2,0,13,13,1
867239d3,2019-2020,ENG,1. Premier League,3rd,Manchester Utd,26,13.4,25,16,165,58,35.2,20,7,0,4,13,1
8696bc90,2019-2020,ESP,1. La Liga,4th,Sevilla,23,13.9,27,19,213,71,33.3,12,1,0,4,13,0
86dd77d1,2019-2020,ENG,1. Premier League,2nd,Manchester City,29,26.6,33,23,256,101,39.5,31,6,1,15,64,0
86e119e0,2019-2020,GER,1. Bundesliga,7th,Wolfsburg,25,31.3,57,35,578,185,32,37,7,0,23,45,0
873619c6,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,18,0.3,1,1,4,0,0,0,0,0,0,0,0
8778c910,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,33,33,1,1,6,1,16.7,0,0,0,0,2,2
87935cf3,2019-2020,ENG,1. Premier League,14th,Crystal Palace,29,10.3,12,7,53,15,28.3,15,5,0,7,53,1
